a1,a2,a3,a4,a5,res
10,29,0.34482758620689696,0.248275862068965,0.027586206896552,Printed_extended
14,145,0.096551724137931,0.21182266009852202,0.005418719211823,Printed_extended
25,58,0.43103448275862105,0.291724137931034,0.017241379310345,Handwritten_extended
5,9,0.555555555555556,0.066666666666667,0.111111111111111,Other_extended
601,14,42.9285714285714,0.14273829332065602,0.0015450439743290001,Other_extended
6,8,0.75,0.4583333333333329,0.125,Other_extended
7,15,0.46666666666666706,0.23809523809523803,0.066666666666667,Other_extended
10,29,0.34482758620689696,0.248275862068965,0.027586206896552,Printed_extended
35,258,0.135658914728682,0.151162790697674,0.0037652270210409996,Printed_extended
20,126,0.158730158730159,0.220238095238095,0.007936507936508,Handwritten_extended
6,8,0.75,0.3541666666666671,0.10416666666666699,Other_extended
5,3,1.6666666666666698,0.5333333333333329,0.133333333333333,Other_extended
8,14,0.5714285714285711,0.267857142857143,0.071428571428571,Printed_extended
17,41,0.41463414634146295,0.33142037302726,0.021520803443329,Printed_extended
16,48,0.33333333333333304,0.27734375,0.018229166666667,Printed_extended
20,24,0.833333333333333,0.26875,0.041666666666667,Handwritten_extended
19,45,0.422222222222222,0.23859649122807,0.021052631578946997,Handwritten_extended
3,3,1.0,0.555555555555555,0.222222222222222,Other_extended
30,48,0.625,0.49375,0.020833333333333,Handwritten_extended
34,96,0.3541666666666671,0.25,0.010416666666667001,Handwritten_extended
18,40,0.45,0.38888888888888895,0.022222222222222,Printed_extended
5,5,1.0,0.44,0.16,Other_extended
21,69,0.304347826086957,0.23188405797101397,0.013802622498275,Printed_extended
23,55,0.418181818181818,0.21581027667984198,0.018181818181818,Handwritten_extended
24,35,0.6857142857142859,0.226190476190476,0.028571428571429,Handwritten_extended
9,7,1.28571428571429,0.47619047619047605,0.095238095238095,Other_extended
41,77,0.532467532467532,0.247070003167564,0.012670256572696001,Handwritten_extended
12,15,0.8,0.4333333333333329,0.066666666666667,Other_extended
16,30,0.5333333333333329,0.297916666666667,0.03333333333333299,Handwritten_extended
18,125,0.14400000000000002,0.20800000000000002,0.007555555555556,Printed_extended
26,35,0.742857142857143,0.315384615384615,0.028571428571429,Handwritten_extended
19,91,0.20879120879120897,0.219201850780798,0.010410641989589001,Printed_extended
10,19,0.526315789473684,0.278947368421053,0.052631578947369,Other_extended
20,77,0.25974025974026,0.25714285714285695,0.011688311688312001,Printed_extended
16,49,0.326530612244898,0.230867346938775,0.019132653061224997,Handwritten_extended
29,46,0.6304347826086961,0.177661169415292,0.021739130434783,Handwritten_extended
22,69,0.318840579710145,0.227931488801054,0.013833992094862,Printed_extended
22,69,0.318840579710145,0.572463768115942,0.014492753623188,Printed_extended
9,21,0.42857142857142894,0.063492063492064,0.04761904761904799,Other_extended
16,23,0.695652173913043,0.296195652173913,0.043478260869565,Handwritten_extended
3,3,1.0,0.444444444444444,0.222222222222222,Other_extended
114,83,1.37349397590361,0.11223842739378599,0.008666243923060998,Mixed_extended
20,62,0.32258064516129,0.25241935483871,0.014516129032258001,Printed_extended
7,20,0.35,0.2,0.05,Other_extended
5,5,1.0,0.48,0.16,Other_extended
3,6,0.5,0.444444444444444,0.166666666666667,Other_extended
9,25,0.36,0.302222222222222,0.035555555555556,Other_extended
5,12,0.4166666666666671,0.33333333333333304,0.083333333333333,Other_extended
8,58,0.137931034482759,0.30172413793103403,0.012931034482759,Printed_extended
21,46,0.456521739130435,0.492753623188406,0.021739130434783,Printed_extended
18,19,0.9473684210526321,0.271929824561403,0.049707602339181,Handwritten_extended
3,4,0.75,0.083333333333333,0.083333333333333,Other_extended
21,58,0.36206896551724105,0.263546798029557,0.017241379310345,Printed_extended
14,24,0.583333333333333,0.264880952380952,0.035714285714286004,Handwritten_extended
29,192,0.151041666666667,0.5985991379310339,0.005208333333333,Handwritten_extended
22,52,0.42307692307692296,0.19405594405594398,0.018356643356643002,Printed_extended
15,31,0.483870967741936,0.427956989247312,0.027956989247312002,Printed_extended
15,48,0.3125,0.291666666666666,0.018055555555556,Printed_extended
6,6,1.0,0.305555555555555,0.138888888888889,Other_extended
5,8,0.625,0.525,0.125,Other_extended
10,18,0.555555555555556,0.38888888888888895,0.055555555555556,Other_extended
15,52,0.28846153846153805,0.265384615384615,0.019230769230768996,Printed_extended
5,5,1.0,0.2,0.16,Other_extended
14,18,0.7777777777777779,0.293650793650794,0.04761904761904799,Other_extended
15,63,0.23809523809523803,0.22116402116402104,0.014814814814815,Handwritten_extended
7,9,0.7777777777777779,0.38095238095238104,0.095238095238095,Other_extended
8,19,0.421052631578947,0.375,0.052631578947369,Other_extended
3,33,0.09090909090909101,0.26262626262626304,0.03030303030303,Other_extended
28,20,1.4,0.3928571428571429,0.033928571428572,Handwritten_extended
3,3,1.0,0.444444444444444,0.222222222222222,Other_extended
13,110,0.11818181818181801,0.246853146853147,0.009090909090909,Printed_extended
4,15,0.266666666666667,0.05,0.066666666666667,Other_extended
22,126,0.174603174603175,0.21969696969696997,0.007936507936508,Handwritten_extended
24,148,0.162162162162162,0.22100225225225198,0.006756756756756999,Printed_extended
4,37,0.108108108108108,0.006756756756756999,0.027027027027027,Other_extended
6,4,1.5,0.29166666666666696,0.125,Other_extended
16,21,0.7619047619047621,0.36607142857142894,0.035714285714286004,Printed_extended
27,258,0.10465116279069801,0.18690783807062902,0.0038759689922479995,Handwritten_extended
50,150,0.33333333333333304,0.19026666666666697,0.006666666666667,Handwritten_extended
12,7,1.7142857142857097,0.47619047619047605,0.071428571428571,Other_extended
9,18,0.5,0.265432098765432,0.04320987654321,Printed_extended
9,8,1.125,0.29166666666666696,0.09722222222222197,Other_extended
18,29,0.6206896551724139,0.281609195402299,0.032567049808429,Printed_extended
15,44,0.340909090909091,0.28030303030303,0.01969696969697,Printed_extended
19,36,0.527777777777778,0.45467836257309896,0.024853801169591003,Printed_extended
39,25,1.56,0.34051282051282106,0.024615384615384997,Printed_extended
19,107,0.17757009345794397,0.15002459419577,0.008853910477126999,Handwritten_extended
41,77,0.532467532467532,0.241685144124168,0.012353500158378,Handwritten_extended
15,12,1.25,0.15,0.06111111111111099,Handwritten_extended
14,145,0.096551724137931,0.21182266009852202,0.005418719211823,Printed_extended
25,135,0.185185185185185,0.15377777777777699,0.007407407407406999,Handwritten_extended
20,62,0.32258064516129,0.25241935483871,0.014516129032258001,Printed_extended
24,41,0.585365853658537,0.398373983739837,0.023373983739837,Printed_extended
58,62,0.9354838709677421,0.17130144605116798,0.016129032258065,Handwritten_extended
6,11,0.545454545454545,0.33333333333333304,0.09090909090909101,Other_extended
4,9,0.444444444444444,0.33333333333333304,0.111111111111111,Other_extended
19,24,0.791666666666667,0.429824561403509,0.041666666666667,Handwritten_extended
